epoch,train_loss,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,0.355953574180603,0.35574519634246826,60.75130081176758,29.20037841796875,1.8310766220092773,92.13849639892578,0.1
50,0.0008822969393804669,0.0008038274245336652,3.5081188678741455,2.407510280609131,0.016049178317189217,5.9324822425842285,8.1
100,0.00024889406631700695,0.00021892489166930318,0.7324309349060059,0.815619945526123,0.0021768221631646156,1.550446629524231,16.7
150,8.408246503677219e-05,7.586678839288652e-05,0.4225013256072998,0.30715224146842957,0.0008615500992164016,0.7305909395217896,25.5
200,3.890318839694373e-05,3.468280556262471e-05,0.2840072214603424,0.17619763314723969,0.00048471803893335164,0.46072423458099365,34.2
250,2.373874667682685e-05,2.104201848851517e-05,0.19484427571296692,0.10117356479167938,0.0003064470656681806,0.2963453233242035,42.7
300,1.6026118828449398e-05,1.4740919141331688e-05,0.10752202570438385,0.06329898536205292,0.0002334957680432126,0.17106924951076508,50.9
350,1.2042117305099964e-05,1.1216704479011241e-05,0.08186591416597366,0.04376848414540291,0.00017811593716032803,0.1258237212896347,58.6
400,1.0019175533670932e-05,9.339555617771111e-06,0.08524397015571594,0.03862326592206955,0.00013759413559455425,0.12401417642831802,65.2
450,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,71.1
500,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,72.8
550,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,74.5
600,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,76.1
650,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,77.8
700,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,79.4
750,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,81.0
800,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,82.7
850,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,84.3
900,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,85.9
950,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,87.6
1000,8.554278792871628e-06,7.949205610202625e-06,0.07506616413593292,0.0357946939766407,0.00011992188228759915,0.11098873615264893,89.2
